"Year","Segment","SegmentLabel","Category","per_100km"
2021,"albany-augusta","Augusta–Albany","Unaccompanied",2.57610092078359
2021,"albany-esperance","Albany–Esperance","Cow-calf pairs",13.346438346377
2021,"albany-esperance","Albany–Esperance","Unaccompanied",3.94753810244955
2021,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",21.4595833091021
2021,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",8.87271232972489
2022,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
2022,"albany-augusta","Augusta–Albany","Unaccompanied",0.286233435642621
2022,"albany-esperance","Albany–Esperance","Cow-calf pairs",12.0305923122272
2022,"albany-esperance","Albany–Esperance","Unaccompanied",1.8797800487855
2022,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",21.2532411618992
2022,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",3.92050079685519
2022,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",8.76448112685462
2022,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",0.449460570607929
2023,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
2023,"albany-augusta","Augusta–Albany","Unaccompanied",0.286233435642621
2023,"albany-esperance","Albany–Esperance","Cow-calf pairs",3.94753810244955
2023,"albany-esperance","Albany–Esperance","Unaccompanied",6.57923017074924
2023,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",10.1107652129423
2023,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",12.1741866849714
2023,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",2.35966799569163
2023,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",5.05643141933921
2024,"albany-augusta","Augusta–Albany","Cow-calf pairs",2.28986748514097
2024,"albany-augusta","Augusta–Albany","Unaccompanied",1.14493374257049
2024,"albany-esperance","Albany–Esperance","Cow-calf pairs",9.77485625368459
2024,"albany-esperance","Albany–Esperance","Unaccompanied",3.57158209269245
2024,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",21.8722676035079
2024,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",22.4912940451166
2024,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",8.42738569889868
2024,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",1.57311199712775
